,name,type,rating,review_count,price,address,label,dine_in,takeaway,delivery,drive_through,no_del_exp,curb_pickup,postal_code,municipality,neighborhood
460,Delfina-Cantina Portuguesa,portuguese,4.4,496.0,2,"Praça do Município n.º 23, 1100-365 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1100-365,Lisboa,Mártires
461,Chaplin Pizza Bar - Lisboa,pizza,5.0,20.0,1,"Calçada Salvador Correia de Sá 38 A, 1200-399 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-399,Lisboa,São Paulo
462,Bicaense Est.1959,grill,4.6,135.0,1,"R. da Bica de Duarte Belo 42A, 1200-056 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-056,Lisboa,São Paulo
463,Sekai Sushi bar,japanese,4.6,100.0,1,"R. dos Mastros 30, 1200-163 Lisboa, Portugal","['dine-in', 'drive-through', 'no-contact delivery']",1,0,1,1,0,0,1200-163,Lisboa,São Paulo
464,Mallagueta Bar and Food Lisboa,bar,4.2,68.0,1,"Costa do Castelo 26, 1100-179 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-179,Lisboa,São Cristóvão
465,Maxime Restaurante-Bar,bar,4.5,61.0,1,"Praça da Alegria 58, 1250-146 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1250-146,Lisboa,Coração de Jesus
466,Damas,bar,4.3,1506.0,1,"R. da Voz do Operário 60, 1170-039 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1170-039,Lisboa,Santa Engrácia
467,Gyoza Bar,asian,4.2,114.0,1,"Rua da Prata 242, 1100-422 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1100-422,Lisboa,Madalena
468,Pharmacia,bar,4.1,1908.0,3,"Rua de Santa Catarina n 2 e n, 4, 1249-069 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1249-069,Lisboa,Santa Catarina
469,Japonês Sushi Restaurante,japanese,4.7,165.0,1,"R. das Trinas 22, 1200-858 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-858,Lisboa,Lapa
470,Nui Sushi & Bar,japanese,4.8,48.0,1,"Calçada Santana 70, 1150-305 Lisboa, Portugal","['dine-in', 'drive-through', 'no-contact delivery']",1,0,1,1,0,0,1150-305,Lisboa,Pena
471,Santa Restaurante & Bar,pasta,4.2,183.0,2,"R. de São João da Praça 103, 1100-585 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-585,Lisboa,Sé
