type_of_food,neighborhood,price,outputs
bistro,Mártires,1,0.8
bistro,Mártires,2,0.8
veggie_healthy,Mártires,3,0.8
veggie_healthy,Mártires,2,0.8
south_america,Mártires,3,0.8
south_america,Mártires,1,0.8
south_america,Mártires,2,0.8
seafood,Mártires,3,0.8
seafood,Mártires,1,0.8
seafood,Mártires,2,0.8
bar,Mártires,3,0.8
bar,Mártires,2,0.8
chicken,Mártires,3,0.8
chicken,Mártires,2,0.8
european,Mártires,3,0.8
mexican,São Miguel,3,0.8
mexican,São Miguel,2,0.8
indian_nepalese,Sacramento,4,0.8
cafe,São Miguel,4,0.8
fado,Sacramento,3,0.8
fado,Sacramento,4,0.8
fado,Sacramento,1,0.8
fast_food,Sacramento,4,0.8
fast_food,Sacramento,1,0.8
fast_food,Sacramento,2,0.8
pastry,Sacramento,4,0.8
pastry,Sacramento,2,0.8
asian,Sacramento,4,0.8
italian,Sacramento,4,0.8
italian,Sacramento,1,0.8
burger,Sacramento,4,0.8
africa_me,Sacramento,4,0.8
mexican,Sacramento,4,0.8
pasta,Sacramento,4,0.8
pasta,Sacramento,1,0.8
japanese,Sacramento,3,0.8
japanese,Sacramento,4,0.8
japanese,Sacramento,1,0.8
japanese,Sacramento,2,0.8
pizza,Sacramento,4,0.8
pizza,Sacramento,2,0.8
portuguese,Sacramento,1,0.8
