,type_of_food,neighborhood,price,outputs
2084,africa_me,Mártires,2,0.8
2103,pastry,Mártires,3,0.8
2083,mexican,Mártires,3,0.8
2081,mexican,Mártires,1,0.8
2080,mexican,Mártires,2,0.8
2076,pasta,Mártires,2,0.8
2223,european,São Mamede,3,0.8
2107,fast_food,Mártires,3,0.8
2079,pasta,Mártires,3,0.8
2108,fado,Mártires,2,0.8
2277,africa_me,São Mamede,1,0.8
2216,mediterranean,São Mamede,2,0.8
2109,fado,Mártires,1,0.8
2217,mediterranean,São Mamede,1,0.8
2111,fado,Mártires,3,0.8
2276,africa_me,São Mamede,2,0.8
2279,africa_me,São Mamede,3,0.8
2275,mexican,São Mamede,3,0.8
2114,brunch,São Cristóvão,4,0.8
2186,burger,São Cristóvão,4,0.8
2227,chicken,São Mamede,3,0.8
2272,mexican,São Mamede,2,0.8
2232,seafood,São Mamede,2,0.8
2202,fast_food,São Cristóvão,4,0.8
2166,pizza,São Cristóvão,4,0.8
2167,pizza,São Cristóvão,3,0.8
2253,indian_nepalese,São Mamede,1,0.8
2252,indian_nepalese,São Mamede,2,0.8
2170,japanese,São Cristóvão,4,0.8
2251,grill,São Mamede,3,0.8
2249,grill,São Mamede,1,0.8
2248,grill,São Mamede,2,0.8
2198,pastry,São Cristóvão,4,0.8
2174,pasta,São Cristóvão,4,0.8
2247,bistro,São Mamede,3,0.8
2176,mexican,São Cristóvão,2,0.8
2196,pastry,São Cristóvão,2,0.8
2195,asian,São Cristóvão,3,0.8
2235,seafood,São Mamede,3,0.8
2178,mexican,São Cristóvão,4,0.8
2194,asian,São Cristóvão,4,0.8
2244,bistro,São Mamede,2,0.8
2236,south_america,São Mamede,2,0.8
2239,south_america,São Mamede,3,0.8
2192,asian,São Cristóvão,2,0.8
2243,veggie_healthy,São Mamede,3,0.8
2190,italian,São Cristóvão,4,0.8
2188,italian,São Cristóvão,2,0.8
2183,africa_me,São Cristóvão,3,0.8
2240,veggie_healthy,São Mamede,2,0.8
2187,burger,São Cristóvão,3,0.8
2231,bar,São Mamede,3,0.8
2160,portuguese,São Cristóvão,2,0.8
2203,fast_food,São Cristóvão,3,0.8
2263,pizza,São Mamede,3,0.8
2271,pasta,São Mamede,3,0.8
2211,brunch,São Mamede,3,0.8
2228,bar,São Mamede,2,0.8
2127,european,São Cristóvão,3,0.8
2130,chicken,São Cristóvão,4,0.8
2209,brunch,São Mamede,1,0.8
2269,pasta,São Mamede,1,0.8
2131,chicken,São Cristóvão,3,0.8
2132,bar,São Cristóvão,2,0.8
2136,seafood,São Cristóvão,2,0.8
2268,pasta,São Mamede,2,0.8
2264,japanese,São Mamede,2,0.8
2241,veggie_healthy,São Mamede,1,0.8
2208,brunch,São Mamede,2,0.8
2255,indian_nepalese,São Mamede,3,0.8
2142,south_america,São Cristóvão,4,0.8
2261,pizza,São Mamede,1,0.8
2229,bar,São Mamede,1,0.8
2146,veggie_healthy,São Cristóvão,4,0.8
2150,bistro,São Cristóvão,4,0.8
2151,bistro,São Cristóvão,3,0.8
2154,grill,São Cristóvão,4,0.8
2259,portuguese,São Mamede,3,0.8
2257,portuguese,São Mamede,1,0.8
2206,fado,São Cristóvão,4,0.8
2204,fado,São Cristóvão,2,0.8
2256,portuguese,São Mamede,2,0.8
2158,indian_nepalese,São Cristóvão,4,0.8
2245,bistro,São Mamede,1,0.8
1824,brunch,Sacramento,2,0.8
2068,pizza,Mártires,2,0.8
1805,italian,São José,1,0.8
1789,pasta,São José,1,0.8
1787,japanese,São José,3,0.8
1781,pizza,São José,1,0.8
1777,portuguese,São José,1,0.8
1773,indian_nepalese,São José,1,0.8
1769,grill,São José,1,0.8
1765,bistro,São José,1,0.8
1761,veggie_healthy,São José,1,0.8
1757,south_america,São José,1,0.8
1753,seafood,São José,1,0.8
1745,chicken,São José,1,0.8
1743,european,São José,3,0.8
1740,european,São José,2,0.8
1739,mediterranean,São José,3,0.8
1737,mediterranean,São José,1,0.8
1736,mediterranean,São José,2,0.8
1731,brunch,São José,3,0.8
1729,brunch,São José,1,0.8
1727,fado,Coração de Jesus,3,0.8
1724,fado,Coração de Jesus,2,0.8
1720,fast_food,Coração de Jesus,2,0.8
1717,pastry,Coração de Jesus,1,0.8
1715,asian,Coração de Jesus,3,0.8
1801,burger,São José,1,0.8
1809,asian,São José,1,0.8
1709,italian,Coração de Jesus,1,0.8
1811,asian,São José,3,0.8
1858,veggie_healthy,Sacramento,4,0.8
1856,veggie_healthy,Sacramento,2,0.8
1854,south_america,Sacramento,4,0.8
1853,south_america,Sacramento,1,0.8
1849,seafood,Sacramento,1,0.8
1846,bar,Sacramento,4,0.8
1842,chicken,Sacramento,4,0.8
1840,chicken,Sacramento,2,0.8
1838,european,Sacramento,4,0.8
1837,european,Sacramento,1,0.8
1836,european,Sacramento,2,0.8
1835,mediterranean,Sacramento,3,0.8
1834,mediterranean,Sacramento,4,0.8
1832,mediterranean,Sacramento,2,0.8
1830,cafe,Sacramento,4,0.8
1829,cafe,Sacramento,1,0.8
1828,cafe,Sacramento,2,0.8
1827,brunch,Sacramento,3,0.8
1826,brunch,Sacramento,4,0.8
1821,fado,São José,1,0.8
1817,fast_food,São José,1,0.8
1813,pastry,São José,1,0.8
1812,pastry,São José,2,0.8
1712,asian,Coração de Jesus,2,0.8
1707,burger,Coração de Jesus,3,0.8
1862,bistro,Sacramento,4,0.8
1617,asian,Mercês,1,0.8
1601,mexican,Mercês,1,0.8
1597,pasta,Mercês,1,0.8
1593,japanese,Mercês,1,0.8
1589,pizza,Mercês,1,0.8
1585,portuguese,Mercês,1,0.8
1573,bistro,Mercês,1,0.8
1572,bistro,Mercês,2,0.8
1567,south_america,Mercês,3,0.8
1565,south_america,Mercês,1,0.8
1561,seafood,Mercês,1,0.8
1557,bar,Mercês,1,0.8
1543,cafe,Mercês,3,0.8
1541,cafe,Mercês,1,0.8
1540,cafe,Mercês,2,0.8
